*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DHCP V2.3.5
*Date=01:52:39
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;43.1945;-0.579402;0;Bottom;TXT9
2;;;44.1867;-48.9411;0;Bottom;Via53
3;;;48.6715;-52.7724;0;Bottom;TXT9
4;;;6.56542;-35.8624;90;Bottom;TXT2
5;;;45.713;-0.513108;0;Bottom;TXT9
6;;;10.025;-22.6081;0;Bottom;Via36
7;;;49.968;0.734882;0;Bottom;TXT11
8;;5 mm [THT];44.9544;-45.1023;0;Bottom;TX
9;;;62.3211;-14.2361;-90;Bottom;TXT5
10;;;60.6765;-7.47021;0;Bottom;Via16
11;;THT;57.4505;-2.53596;90;Bottom;
12;;;61.1076;-52.6386;0;Bottom;TXT9
13;;;51.3175;-52.792;0;Bottom;TXT9
14;;;56.1184;-52.9241;0;Bottom;TXT9
15;;;52.8219;-12.1907;0;Bottom;Via52
16;;;8.61557;-19.6532;0;Bottom;Via5
17;;;48.0067;-18.8963;0;Bottom;Via48
18;;THT;1.83461;-5.52741;180;Bottom;
19;;THT;1.45231;-26.5278;0;Bottom;
20;;;53.8281;-52.792;0;Bottom;TXT9
21;330;THT;52.8726;-38.8533;-90;Bottom;R1
22;;;25.4403;-53.298;0;Bottom;TXT11
23;;;17.7869;-53.103;0;Bottom;TXT11
24;;THT;16.6828;-9.81219;90;Bottom;
25;;;63.5711;-52.6862;0;Bottom;TXT9
26;;;46.9379;0.596323;0;Bottom;TXT11
27;;;58.8454;-0.579402;0;Bottom;TXT9
28;;;43.0817;-53.2416;0;Bottom;TXT11
29;;;7.34535;-15.7764;0;Bottom;Via31
30;;;66.7346;-36.4899;0;Bottom;Hole3
31;;;50.8075;-28.6287;0;Bottom;Via41
32;;;60.1383;-53.2389;0;Bottom;TXT11
33;;;10.0339;-13.5517;0;Bottom;Via18
34;;;50.3043;-13.1219;0;Bottom;Via27
35;;;60.7058;-41.7192;0;Bottom;Via15
